47:12.5	40.32602	116.2041	62.98215	8.762734	42.41275	6	北京市       	北京市县      	昌平县       
47:12.5	40.34003	116.2116	79.98514	9.47972	69.95045	6	北京市       	北京市县      	昌平县       
47:53.4	40.24891	116.1598	33.7539	6.353675	69.98514	6	北京市       	北京市县      	昌平县       
47:56.1	40.58945	116.1833	58.14979	4.83323	69.85511	6	北京市       	北京市县      	延庆县       
49:39.6	40.76045	116.203	94.82648	7.356236	69.78971	6	河北省       	张家口市      	赤城县       
49:39.6	40.74473	116.1805	89.29269	6.606627	69.79578	6	河北省       	张家口市      	赤城县       
50:03.4	40.92108	115.8106	60.83744	4.635233	69.72833	6	河北省       	张家口市      	赤城县       
50:36.9	40.26815	116.2267	130.3222	20.34298	69.97779	6	北京市       	北京市县      	昌平县       
50:39.9	40.98824	115.6593	-36.74165	-5.344241	69.70244	6	河北省       	张家口市      	赤城县       
50:42.2	40.61066	116.2039	72.70451	10.22657	69.84716	6	北京市       	北京市县      	延庆县       
51:06.8	40.29778	116.1872	67.49291	7.853721	69.96644	6	北京市       	北京市县      	昌平县       
52:19.5	40.72292	116.1042	99.28737	12.70878	69.80425	6	河北省       	张家口市      	赤城县       
52:22.5	40.37252	115.8311	-19.58128	-7.595162	0	5	河北省       	张家口市      	怀来县       
53:05.8	40.30597	116.2221	165.5945	13.58724	69.96321	6	北京市       	北京市县      	昌平县       
53:52.3	40.27568	116.2725	216.1837	16.97639	0	6	北京市       	北京市县      	昌平县       
54:32.7	40.32214	116.2589	44.25925	5.395413	69.95702	6	北京市       	北京市县      	昌平县       
54:51.9	41.10327	116.1892	-22.38327	-15.917	0	2	河北省       	张家口市      	赤城县       
55:54.7	40.21735	115.9247	-33.33516	-5.926251	69.997	6	北京市       	北京市县      	昌平县       
55:56.9	40.05126	114.9135	109.5375	10.78524	70.06027	6	河北省       	张家口市      	蔚县        
55:57.0	40.23701	116.2463	126.4406	13.05194	69.98952	6	北京市       	北京市县      	昌平县       
55:57.0	40.27525	116.2672	94.62075	19.22453	0	5	北京市       	北京市县      	昌平县       
56:12.4	40.03336	116.2687	36.32386	5.811818	70.06709	6	北京市       	北京市市辖区    	北京市市辖区    
56:13.7	41.09535	116.2485	121.6944	10.81728	69.66126	6	河北省       	张家口市      	赤城县       
56:13.8	40.91884	116.0961	30.17329	7.572905	0	2	河北省       	张家口市      	赤城县       
56:27.3	41.13007	116.1938	79.72527	7.394807	0.0949949	6	河北省       	张家口市      	赤城县       
56:56.7	40.61565	116.2011	71.86507	7.862161	172.1569	6	北京市       	北京市县      	延庆县       
57:05.9	40.30968	116.2358	61.47086	10.08753	69.96186	6	北京市       	北京市县      	昌平县       
57:18.8	41.45678	116.1169	47.09077	5.529925	41.694	6	河北省       	承德市       	丰宁满族自治县   
57:43.0	40.08322	116.1975	53.45778	13.68519	70.0479	6	北京市       	北京市市辖区    	北京市市辖区    
57:55.1	39.99198	116.1983	101.8966	12.91363	0	6	北京市       	北京市市辖区    	北京市市辖区    
58:04.7	40.07735	116.0541	34.94261	5.963539	70.05016	6	北京市       	北京市市辖区    	北京市市辖区    
58:13.7	40.25696	115.9157	-43.26578	-11.30208	69.98191	6	河北省       	张家口市      	怀来县       
58:13.8	40.25101	115.911	-55.6125	-9.491199	42.45975	6	河北省       	张家口市      	怀来县       
58:13.8	40.2544	115.9108	-28.64051	-8.525547	0	5	河北省       	张家口市      	怀来县       
58:20.3	41.18571	116.0995	50.52238	5.132432	172.0683	6	河北省       	张家口市      	赤城县       
